n,prime,is_mersenne,ms
487,1000000000000023409,0,0.007
488,1000000000000023439,0,0.011
489,1000000000000023493,0,0.010
490,1000000000000023523,0,0.007
491,1000000000000023527,0,0.005
492,1000000000000023571,0,0.013
493,1000000000000023593,0,0.006
494,1000000000000023619,0,0.010
495,1000000000000023721,0,0.017
496,1000000000000023731,0,0.007
497,1000000000000023739,0,0.009
498,1000000000000023797,0,0.009
499,1000000000000023811,0,0.008
500,1000000000000023829,0,0.009
501,1000000000000023851,0,0.008
502,1000000000000024021,0,0.025
503,1000000000000024043,0,0.007
504,1000000000000024069,0,0.009
505,1000000000000024099,0,0.009
506,1000000000000024217,0,0.016
507,1000000000000024223,0,0.005
508,1000000000000024253,0,0.021
509,1000000000000024367,0,0.016
510,1000000000000024403,0,0.008
511,1000000000000024409,0,0.008
512,1000000000000024427,0,0.007
513,1000000000000024459,0,0.009
514,1000000000000024489,0,0.010
515,1000000000000024591,0,0.019
516,1000000000000024691,0,0.023
517,1000000000000024763,0,0.014
518,1000000000000024783,0,0.006
519,1000000000000024817,0,0.009
520,1000000000000024943,0,0.017
521,1000000000000024949,0,0.008
522,1000000000000024973,0,0.007
523,1000000000000024997,0,0.006
524,1000000000000025029,0,0.011
525,1000000000000025119,0,0.016
526,1000000000000025209,0,0.017
527,1000000000000025279,0,0.015
528,1000000000000025449,0,0.024
529,1000000000000025509,0,0.015
530,1000000000000025537,0,0.007
531,1000000000000025569,0,0.011
532,1000000000000025597,0,0.007
533,1000000000000025599,0,0.007
534,1000000000000025627,0,0.007
535,1000000000000025641,0,0.008
536,1000000000000025653,0,0.005
537,1000000000000025671,0,0.009
538,1000000000000025719,0,0.013
539,1000000000000025771,0,0.012
540,1000000000000025789,0,0.009
541,1000000000000025803,0,0.005
542,1000000000000025807,0,0.004
543,1000000000000025837,0,0.010
544,1000000000000025897,0,0.011
545,1000000000000025911,0,0.009
546,1000000000000025929,0,0.008
547,1000000000000025933,0,0.005
548,1000000000000025989,0,0.012
549,1000000000000026043,0,0.010
550,1000000000000026061,0,0.010
551,1000000000000026079,0,0.007
552,1000000000000026149,0,0.013
553,1000000000000026167,0,0.007
554,1000000000000026169,0,0.007
555,1000000000000026191,0,0.009
556,1000000000000026197,0,0.004
557,1000000000000026227,0,0.008
558,1000000000000026401,0,0.025
559,1000000000000026611,0,0.030
560,1000000000000026631,0,0.008
561,1000000000000026659,0,0.010
562,1000000000000026731,0,0.015
563,1000000000000026793,0,0.010
564,1000000000000026841,0,0.012
565,1000000000000026929,0,0.016
566,1000000000000027109,0,0.025
567,1000000000000027127,0,0.008
568,1000000000000027171,0,0.011
569,1000000000000027199,0,0.010
570,1000000000000027307,0,0.020
571,1000000000000027471,0,0.024
572,1000000000000027501,0,0.010
573,1000000000000027517,0,0.006
574,1000000000000027519,0,0.007
575,1000000000000027541,0,0.009
576,1000000000000027673,0,0.016
577,1000000000000027679,0,0.007
578,1000000000000027699,0,0.009
579,1000000000000027769,0,0.015
580,1000000000000027879,0,0.017
581,1000000000000027883,0,0.005
582,1000000000000027909,0,0.008
583,1000000000000027919,0,0.007
584,1000000000000028023,0,0.016
585,1000000000000028087,0,0.010
586,1000000000000028117,0,0.008
587,1000000000000028173,0,0.009
588,1000000000000028177,0,0.005
589,1000000000000028179,0,0.007
590,1000000000000028213,0,0.007
591,1000000000000028231,0,0.009
592,1000000000000028311,0,0.012
593,1000000000000028329,0,0.008
594,1000000000000028371,0,0.010
595,1000000000000028381,0,0.008
596,1000000000000028399,0,0.009
597,1000000000000028453,0,0.010
598,1000000000000028519,0,0.014
599,1000000000000028597,0,0.011
600,1000000000000028663,0,0.012
601,1000000000000028773,0,0.014
602,1000000000000028891,0,0.017
603,1000000000000028903,0,0.007
604,1000000000000028927,0,0.006
605,1000000000000029073,0,0.019
606,1000000000000029121,0,0.010
607,1000000000000029143,0,0.006
608,1000000000000029233,0,0.012
609,1000000000000029253,0,0.007
610,1000000000000029263,0,0.006
611,1000000000000029313,0,0.009
612,1000000000000029341,0,0.009
613,1000000000000029461,0,0.018
614,1000000000000029529,0,0.014
615,1000000000000029643,0,0.015
616,1000000000000029683,0,0.009
617,1000000000000029713,0,0.006
618,1000000000000029781,0,0.015
619,1000000000000029823,0,0.007
620,1000000000000029841,0,0.009
621,1000000000000029857,0,0.006
622,1000000000000029883,0,0.007
623,1000000000000029893,0,0.005
624,1000000000000029961,0,0.013
625,1000000000000030061,0,0.015
626,1000000000000030063,0,0.004
627,1000000000000030067,0,0.005
628,1000000000000030153,0,0.012
629,1000000000000030157,0,0.005
630,1000000000000030219,0,0.012
631,1000000000000030277,0,0.010
632,1000000000000030307,0,0.008
633,1000000000000030411,0,0.017
634,1000000000000030441,0,0.010
635,1000000000000030481,0,0.011
636,1000000000000030577,0,0.014
637,1000000000000030583,0,0.005
638,1000000000000030609,0,0.009
639,1000000000000030669,0,0.014
640,1000000000000030753,0,0.011
641,1000000000000030849,0,0.015
642,1000000000000030879,0,0.011
643,1000000000000030889,0,0.007
644,1000000000000030901,0,0.008
645,1000000000000030921,0,0.009
646,1000000000000030933,0,0.005
647,1000000000000030973,0,0.007
648,1000000000000031011,0,0.009
649,1000000000000031099,0,0.015
650,1000000000000031207,0,0.015
651,1000000000000031221,0,0.009
652,1000000000000031351,0,0.019
653,1000000000000031383,0,0.007
654,1000000000000031411,0,0.009
655,1000000000000031479,0,0.014
