n,prime,is_mersenne,ms
336,1000000000000015991,0,0.011
337,1000000000000016009,0,0.009
338,1000000000000016021,0,0.008
339,1000000000000016129,0,0.029
340,1000000000000016221,0,0.025
341,1000000000000016231,0,0.007
342,1000000000000016359,0,0.033
343,1000000000000016383,0,0.010
344,1000000000000016479,0,0.027
345,1000000000000016503,0,0.008
346,1000000000000016537,0,0.010
347,1000000000000016563,0,0.009
348,1000000000000016621,0,0.019
349,1000000000000016693,0,0.021
350,1000000000000016779,0,0.022
351,1000000000000016839,0,0.020
352,1000000000000016861,0,0.009
353,1000000000000016867,0,0.006
354,1000000000000016921,0,0.016
355,1000000000000017013,0,0.026
356,1000000000000017017,0,0.005
357,1000000000000017101,0,0.022
358,1000000000000017109,0,0.007
359,1000000000000017119,0,0.008
360,1000000000000017179,0,0.019
361,1000000000000017227,0,0.012
362,1000000000000017323,0,0.023
363,1000000000000017349,0,0.011
364,1000000000000017353,0,0.005
365,1000000000000017431,0,0.020
366,1000000000000017449,0,0.011
367,1000000000000017451,0,0.006
368,1000000000000017509,0,0.016
369,1000000000000017539,0,0.010
370,1000000000000017553,0,0.006
371,1000000000000017589,0,0.014
372,1000000000000017749,0,0.040
373,1000000000000017781,0,0.013
374,1000000000000017799,0,0.009
375,1000000000000017803,0,0.005
376,1000000000000017811,0,0.007
377,1000000000000017881,0,0.018
378,1000000000000017911,0,0.013
379,1000000000000018001,0,0.021
380,1000000000000018021,0,0.011
381,1000000000000018081,0,0.016
382,1000000000000018133,0,0.015
383,1000000000000018169,0,0.013
384,1000000000000018187,0,0.008
385,1000000000000018249,0,0.017
386,1000000000000018331,0,0.023
387,1000000000000018361,0,0.012
388,1000000000000018471,0,0.028
389,1000000000000018517,0,0.012
390,1000000000000018519,0,0.006
391,1000000000000018631,0,0.027
392,1000000000000018637,0,0.005
393,1000000000000018643,0,0.006
394,1000000000000018663,0,0.007
395,1000000000000018727,0,0.019
396,1000000000000018751,0,0.010
397,1000000000000018763,0,0.007
398,1000000000000018781,0,0.009
399,1000000000000018789,0,0.008
400,1000000000000018799,0,0.008
401,1000000000000018817,0,0.008
402,1000000000000018861,0,0.014
403,1000000000000018907,0,0.012
404,1000000000000018949,0,0.015
405,1000000000000018973,0,0.008
406,1000000000000019041,0,0.021
407,1000000000000019069,0,0.010
408,1000000000000019071,0,0.006
409,1000000000000019177,0,0.026
410,1000000000000019261,0,0.022
411,1000000000000019281,0,0.012
412,1000000000000019299,0,0.008
413,1000000000000019329,0,0.012
414,1000000000000019339,0,0.007
415,1000000000000019363,0,0.009
416,1000000000000019401,0,0.013
417,1000000000000019411,0,0.007
418,1000000000000019443,0,0.011
419,1000000000000019519,0,0.021
420,1000000000000019591,0,0.020
421,1000000000000019761,0,0.044
422,1000000000000019839,0,0.020
423,1000000000000019849,0,0.007
424,1000000000000019881,0,0.011
425,1000000000000019897,0,0.006
426,1000000000000019933,0,0.013
427,1000000000000020073,0,0.032
428,1000000000000020191,0,0.027
429,1000000000000020193,0,0.005
430,1000000000000020203,0,0.007
431,1000000000000020241,0,0.014
432,1000000000000020379,0,0.033
433,1000000000000020391,0,0.008
434,1000000000000020451,0,0.019
435,1000000000000020533,0,0.020
436,1000000000000020631,0,0.024
437,1000000000000020647,0,0.006
438,1000000000000020659,0,0.008
439,1000000000000020683,0,0.008
440,1000000000000020739,0,0.015
441,1000000000000020841,0,0.027
442,1000000000000021019,0,0.044
443,1000000000000021021,0,0.006
444,1000000000000021079,0,0.018
445,1000000000000021121,0,0.013
446,1000000000000021123,0,0.005
447,1000000000000021247,0,0.028
448,1000000000000021271,0,0.012
449,1000000000000021343,0,0.019
450,1000000000000021463,0,0.027
451,1000000000000021487,0,0.008
452,1000000000000021549,0,0.017
453,1000000000000021561,0,0.007
454,1000000000000021721,0,0.035
455,1000000000000021751,0,0.013
456,1000000000000021819,0,0.022
457,1000000000000021901,0,0.022
458,1000000000000021907,0,0.006
459,1000000000000021931,0,0.011
460,1000000000000021981,0,0.016
